fold,KH - 10C
fold,9D - 8H
call,9H - JH
fold,KS - 3D
fold,2S - QC
call,8D - JD
fold,8D - JD
fold,6H - AH
fold,3H - 2H
fold,2D - 5S
fold,8H - 2D
fold,AS - 3C
fold,3H - 4C
fold,10H - 3D
raise,JD - QH
fold,JC - 4H
call,9S - JS
fold,7H - 3S
fold,3S - JC
fold,2S - 3C
fold,2S - 7H
fold,10D - 6D
fold,KD - 5S
fold,8D - QS
fold,9D - QC
raise,5S - 7S
fold,3C - 6D
fold,5H - QC
fold,JH - 6H
fold,JH - 3C
fold,7H - 10D
fold,AC - 5S
fold,2H - 6D
call,KD - QS
raise,JD - 9C
fold,3D - 10D
call,5S - 8S
fold,QD - 7H
fold,KS - 5C
fold,9S - 6S
fold,10H - QC
raise,KS - AD
fold,9S - 10C
call,JC - AH
call,QC - KC
fold,5C - 9D
fold,7H - KD
fold,2D - JH
fold,3C - KC
fold,8D - AC
fold,KD - 10C
fold,2C - QD
fold,10C - 3C
fold,JH - 3S
call,AD - 6C
fold,6H - 9S
fold,3H - KS
fold,8S - 2C
fold,6D - JH
fold,10D - 3D
fold,10S - AH
fold,10C - 9D
fold,7C - 2H
fold,9H - 2D
fold,6C - QD
fold,2S - 8H
raise,QS - AS
fold,JS - 6H
fold,8S - QC
fold,3H - 6C
fold,AH - 6S
fold,5D - 2C
fold,4D - 3H
call,9D - 9C
call,3D - KS
fold,JS - 5S
fold,AS - 6C
fold,7C - 5H
fold,3D - 6S
fold,QS - 9D
fold,KD - 10C
fold,10C - 7S
fold,8D - 9H
raise,10H - JS
fold,10H - JS
fold,QS - 10S
call,JD - 10H
raise,5D - 5S
call,9D - 10D
fold,QD - 2C
fold,9S - JD
fold,5S - 7H
fold,JD - 6H
call,7H - 6H
raise,KC - 10C
fold,JD - 9S
fold,4S - 10C
raise,KD - QS
fold,KD - QS
fold,3C - 9S
fold,KC - 3H
fold,AS - 3C
fold,10D - 9C
call,KC - JH
fold,KC - JH
fold,JS - AC
fold,4S - AD
fold,QC - 8S
raise,9D - JD
fold,9D - JD
call,10D - 2C
fold,2H - 10C
fold,3D - 10C
fold,AH - 2C
fold,6H - JS
fold,9H - 4C
fold,7H - QH
call,JS - 10S
fold,JS - 10S
fold,2H - 9C
call,JC - 3C
raise,AH - KH
raise,AS - JD
call,5C - 5H
fold,4H - 3H
fold,QD - 9S
fold,5S - JH
fold,10S - JH
fold,AH - 8D
fold,JS - 9H
fold,2S - KC
call,JS - 7H
raise,QC - 10D
fold,QC - 10D
call,AH - 2H
fold,AH - 2H
fold,7D - 10H
fold,KC - 3H
call,AS - 5C
fold,2H - 4S
fold,8S - 9D
fold,9H - QC
fold,9C - KD
fold,9C - 5D
fold,7C - QC
call,8H - 8C
raise,8H - 8C
fold,10C - 3S
fold,2C - KD
fold,10S - 3C
call,7D - 7H
fold,5C - 6S
raise,KC - AD
fold,7S - 8C
fold,7S - KD
fold,5C - 4S
fold,2S - 8H
fold,9C - 4S
fold,QH - 3C
fold,8C - 3C
fold,6C - 2H
fold,5D - 8D
fold,2S - KH
call,9D - JD
fold,3C - 5D
call,7S - 7D
fold,6S - 10C
raise,9S - JS
fold,7C - AS
raise,AD - 10H
fold,4H - 5C
fold,10H - 4D
call,2H - 7H
fold,4D - KH
fold,3C - 2H
fold,10H - 9D
fold,4D - KC
fold,8S - 9D
fold,9C - JS
raise,JD - QD
fold,7H - 6S
fold,3H - 10S
call,KC - AD
raise,QH - JH
fold,4C - 3H
fold,7S - QD
fold,9H - 7C
fold,9H - 7C
call,JD - JS
fold,QD - 7C
raise,AS - AD
fold,9D - 4D
fold,2S - 4H
fold,8S - 3H
raise,10D - JC
fold,3S - AD
fold,5D - QD
fold,QD - 10H
fold,4C - 10H
fold,3D - 7D
fold,3H - 7D
fold,7S - 2C
call,AH - JS
raise,KC - AH
fold,AD - 7C
fold,2D - QH
fold,4S - 9C
call,7S - 7C
fold,8C - 9H
raise,KD - JH
fold,7D - JH
fold,JS - 6C
fold,5S - 7D
fold,3S - 4D
call,7C - 7S
fold,9S - 7D
fold,5S - KS
fold,5C - AH
fold,JS - 4H
raise,10C - 10H
fold,9C - 4D
fold,7C - JS
raise,7D - 7S
raise,10H - AH
fold,8D - 10S
fold,4H - 8H
fold,5S - QS
call,8S - AS
raise,KC - KS
fold,AH - 6C
fold,7D - 4C
fold,8H - QC
fold,AH - 6D
fold,2S - 9D
fold,9S - JD
call,7H - 6H
call,AS - 4C
call,QH - JS
fold,10H - 4H
fold,5C - 9C
fold,3C - AD
call,6H - QH
fold,6H - QH
call,10H - 9H
fold,10H - 9H
fold,3H - AS
fold,3C - 6H
raise,KH - AD
call,2H - 6D
call,3H - 10S
fold,8C - 6D
fold,8S - JC
fold,5S - JD
fold,JH - AC
fold,10C - 2D
fold,8D - 5D
call,3S - 6S
raise,QC - AC
fold,4C - 4H
fold,4C - KS
call,QS - KS
fold,10C - 6S
fold,QH - 9C
call,JC - 9C
fold,4D - 8S
fold,6C - 9S
fold,4S - QC
fold,3C - 10D
call,8D - 10H
fold,9S - 5H
fold,AD - 2C
fold,9C - 8D
call,8S - QC
fold,2H - KD
fold,KH - 5D
fold,AD - 7S
